Unnamed: 0,Store,Date,IsHoliday,Dept,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size
273395,28,2011-07-15,0,29.0,5300.62,88.1,3.692,0.0,0.0,0.0,0.0,0.0,129.1338387,13.503,3,206302
177244,18,2012-08-31,0,55.0,7510.71,70.09,3.884,20913.04,7.98,98.98,9800.5,4527.8,138.3771935,8.535,2,120653
355655,38,2010-04-09,0,17.0,335.0,59.25,3.09,0.0,0.0,0.0,0.0,0.0,126.6019032,14.099,1,39690
282536,29,2011-05-06,0,20.0,3755.87,53.63,4.078,0.0,0.0,0.0,0.0,0.0,134.5143667,9.966,2,93638
124676,13,2011-10-28,0,5.0,54998.42,47.41,3.567,0.0,0.0,0.0,0.0,0.0,129.7936774,6.392,3,219622
124369,13,2011-09-23,0,4.0,41407.74,63.6,3.648,0.0,0.0,0.0,0.0,0.0,129.5183333,6.877,3,219622
111992,12,2011-02-18,0,41.0,836.0,53.35,3.43,0.0,0.0,0.0,0.0,0.0,127.99525,14.021,2,112238
94187,10,2011-10-07,0,50.0,3924.0,75.01,3.827,0.0,0.0,0.0,0.0,0.0,129.6938,7.874,2,126512
102656,11,2011-04-22,0,81.0,12149.96,78.31,3.807,0.0,0.0,0.0,0.0,0.0,218.851237,7.574,3,207499
255961,26,2012-05-04,0,81.0,18832.74,40.29,3.991,11484.78,0.0,78.04,2449.14,2488.39,138.0332,7.489,3,152513
46706,5,2012-02-24,0,19.0,117.0,57.75,3.555,2220.32,1407.4,0.0,145.46,2657.52,221.2224243,5.943,2,34875
299788,31,2011-06-03,0,59.0,148.92,83.82,3.699,0.0,0.0,0.0,0.0,0.0,214.9254865,7.931,3,203750
179180,19,2010-06-04,0,32.0,7877.41,68.88,3.006,0.0,0.0,0.0,0.0,0.0,132.3648387,8.185,3,203819
331831,34,2012-10-05,0,26.0,5518.24,65.41,3.62,2716.1,0.0,6.03,1648.8,3539.71,131.0756667,8.839,3,158114
40591,5,2010-04-16,0,36.0,372.5,65.3,2.808,0.0,0.0,0.0,0.0,0.0,211.0388528,6.465,2,34875
222713,23,2011-06-24,0,82.0,21545.83,63.8,3.851,0.0,0.0,0.0,0.0,0.0,135.2652667,4.781,2,114533
325755,34,2011-02-18,0,25.0,6172.14,45.12,3.058,0.0,0.0,0.0,0.0,0.0,127.99525,10.398,3,158114
341655,36,2010-02-05,0,16.0,325.0,45.97,2.545,0.0,0.0,0.0,0.0,0.0,209.8529663,8.554,3,39910
52677,6,2011-01-28,0,98.0,7519.8,44.98,3.01,0.0,0.0,0.0,0.0,0.0,213.7143412,6.858,3,202505
354958,37,2012-10-05,0,96.0,20612.76,73.57,3.617,126.94,0.0,2.02,0.0,1451.99,221.8533396,6.228,1,39910
169038,18,2010-05-21,0,7.0,30118.48,60.27,2.961,0.0,0.0,0.0,0.0,0.0,132.2230323,9.269,2,120653
16196,2,2011-09-02,0,98.0,11947.19,89.64,3.533,0.0,0.0,0.0,0.0,0.0,215.4508632,7.852,3,202307
311603,32,2011-11-04,0,13.0,30119.09,37.95,3.527,0.0,0.0,0.0,0.0,0.0,195.4847959,8.513,3,203007
87096,9,2012-08-10,0,90.0,3437.12,88.66,3.494,3180.78,-9.94,1.4,2112.03,2314.58,225.7170094,5.277,2,125833
57974,6,2012-06-29,0,2.0,55350.15,87.35,3.286,3997.4,231.9,0.0,262.44,4182.9,223.4506878,5.964,3,202505
326531,34,2011-05-06,0,83.0,2465.95,54.4,3.866,0.0,0.0,0.0,0.0,0.0,129.0444333,10.581,3,158114
237101,24,2012-08-03,0,31.0,3213.44,73.26,3.819,11887.54,557.1,138.39,9345.76,2781.67,138.1735806,8.953,3,203819
3348,1,2010-12-24,0,56.0,1009.09,52.33,2.886,0.0,0.0,0.0,0.0,0.0,211.4051222,7.838,3,151315
109863,12,2010-07-09,0,83.0,242.92,90.37,3.1,0.0,0.0,0.0,0.0,0.0,126.1518,14.18,2,112238
125203,13,2011-12-16,0,6.0,12489.73,27.85,3.282,3272.56,556.15,959.55,424.43,5933.01,129.8980645,6.392,3,219622
102920,11,2011-05-20,0,12.0,4260.74,76.97,3.907,0.0,0.0,0.0,0.0,0.0,219.127216,7.574,3,207499
253244,26,2011-08-05,0,93.0,31690.11,63.16,3.903,0.0,0.0,0.0,0.0,0.0,136.0540323,7.767,3,152513
237818,24,2012-10-12,0,25.0,13917.68,51.64,4.186,5138.51,0.0,141.88,407.81,3284.69,138.9117,8.693,3,203819
34589,4,2011-05-27,0,31.0,2854.5,73.65,3.771,0.0,0.0,0.0,0.0,0.0,129.0623548,5.946,3,205863
279409,29,2010-06-11,0,59.0,335.12,65.01,2.83,0.0,0.0,0.0,0.0,0.0,132.4357419,10.16,2,93638
354705,37,2012-09-07,1,22.0,71.6,84.19,3.73,319.93,0.0,251.31,354.73,2145.98,221.1181142,6.623,1,39910
170841,18,2010-11-19,0,44.0,5280.14,45.26,3.03,0.0,0.0,0.0,0.0,0.0,132.9172,9.331,2,120653
302649,31,2012-03-09,0,18.0,730.92,57.16,3.669,6284.13,768.91,2.69,1051.13,8527.38,220.6974332,7.057,3,203750
121971,13,2011-02-11,1,56.0,1620.06,30.83,3.034,0.0,0.0,0.0,0.0,0.0,127.859129,7.47,3,219622
367634,39,2011-07-01,0,17.0,10037.31,84.93,3.524,0.0,0.0,0.0,0.0,0.0,213.9324122,8.177,3,184109
